Machine_ID,Temperature,Run_Time,Downtime_Flag
2,141.07,16.87,0
41,96.44,16.87,0
48,63.75,22.4,0
13,84.08,12.44,1
9,66.48,6.3,0
36,67.06,2.02,0
22,144.81,10.56,1
42,94.52,7.94,0
26,128.88,18.51,0
12,113.96,9.15,1
17,117.64,22.83,0
14,63.17,23.13,0
14,73.42,15.28,1
34,128.68,22.36,0
20,147.08,18.5,0
11,76.27,13.58,0
16,77.16,5.15,0
31,97.29,11.55,1
6,148.38,13.9,0
19,76.9,20.87,0
37,90.7,12.07,0
4,139.15,21.65,0
47,50.29,16.51,0
4,53.98,4.15,0
20,110.41,23.88,0
10,140.74,13.13,0
24,73.89,10.01,0
35,96.96,16.16,0
26,95.05,3.5,0
37,97.3,15.64,0
38,112.25,12.46,0
21,96.97,10.35,0
40,94.75,22.92,0
39,97.43,13.02,0
21,109.09,6.04,0
10,103.7,11.56,0
38,135.41,22.15,0
46,54.95,5.05,0
4,133.33,5.92,1
45,134.39,1.3,0
20,78.49,1.33,0
17,96.29,20.08,1
7,93.85,17.84,0
4,71.85,9.17,1
29,89.68,17.06,0
14,54.44,10.09,0
3,77.78,22.92,0
24,131.67,23.24,0
37,78.46,10.03,0
16,131.82,20.65,0
4,103.16,18.78,0
24,137.99,8.13,0
34,107.48,6.34,0
30,52.97,11.54,0
18,117.54,18.97,1
19,54.49,23.08,0
31,95.06,18.56,0
19,142.94,20.67,0
49,66.52,14.87,0
46,88.99,20.21,0
19,122.99,19.04,0
22,138.23,9.67,0
24,117.09,13.7,0
45,75.82,19.51,0
12,117.46,2.06,0
30,79.67,19.59,0
38,121.84,5.09,0
31,145.4,12.84,0
36,122.14,19.59,0
19,136.29,6.84,0
48,50.21,6.65,0
45,121.76,10.26,0
36,132.96,21.58,0
30,54.06,1.01,0
49,137.16,21.73,0
33,75.67,4.54,0
18,116.53,23.77,0
49,130.04,22.96,0
28,116.27,12.38,0
47,59.23,12.79,0
11,109.63,12.08,0
45,104.96,15.62,0
33,140.03,3.09,1
17,90.42,1.75,0
6,82.11,2.33,0
4,124.99,11.22,0
20,91.27,7.34,0
48,114.61,15.31,0
47,114.65,23.83,0
27,138.8,9.89,0
15,109.87,14.2,0
6,100.22,10.56,0
47,63.89,20.49,1
14,61.57,21.75,1
11,65.43,21.18,0
39,67.18,23.41,0
9,113.79,1.63,0
26,124.1,20.32,0
16,103.0,18.29,0
5,132.9,6.26,0
10,149.13,23.0,0
50,132.0,4.41,1
3,119.49,16.63,0
13,103.25,6.17,0
43,94.89,10.92,0
49,58.44,17.54,0
30,89.94,13.96,0
45,141.01,10.83,0
6,130.8,8.51,0
17,71.61,20.31,0
45,96.66,4.31,0
19,131.67,10.89,0
42,56.74,21.79,0
35,88.74,20.45,0
46,135.18,10.22,0
26,90.39,18.55,0
5,57.76,19.93,0
29,104.25,21.44,0
37,136.17,13.52,1
20,109.03,5.7,0
49,72.63,6.87,0
21,88.42,7.8,0
10,95.01,14.66,0
5,107.93,1.75,0
36,125.94,15.63,0
6,59.89,9.38,0
26,138.97,7.79,0
4,51.23,21.23,1
39,87.01,11.58,0
39,52.74,3.19,0
50,89.3,20.02,1
35,102.58,2.1,0
1,101.17,17.72,0
24,66.56,18.8,0
36,114.57,9.11,0
6,54.48,19.97,0
41,126.19,12.86,0
46,144.66,11.66,0
44,83.98,2.04,0
31,101.72,7.67,0
20,87.89,22.41,0
24,50.67,10.01,0
25,88.59,13.57,1
36,129.17,13.24,0
21,109.6,14.58,1
30,60.13,2.41,1
24,134.71,9.33,0
44,103.11,17.63,0
42,134.17,5.61,0
30,108.02,5.68,0
22,105.97,1.23,0
28,60.53,11.06,0
7,66.74,21.3,0
35,147.2,2.19,1
28,72.85,5.4,1
14,147.75,8.13,0
10,103.19,17.83,0
16,63.58,15.73,0
16,59.93,10.57,0
31,70.89,18.46,0
42,142.56,15.02,0
25,91.42,21.61,0
13,89.54,19.81,1
6,81.32,6.81,0
44,64.71,7.24,0
9,98.79,3.88,0
45,63.0,8.75,0
36,133.55,23.99,0
43,87.04,10.33,1
20,87.48,6.07,0
18,97.4,18.54,0
43,94.41,13.48,0
21,149.49,4.44,0
4,104.54,9.76,0
50,58.82,10.53,0
33,110.69,18.34,0
27,65.16,1.48,0
7,53.09,7.19,0
6,147.07,12.9,0
15,127.35,7.18,1
18,148.01,15.45,0
32,97.79,12.08,0
11,103.23,9.32,0
20,66.83,22.83,0
24,74.69,15.54,0
15,133.85,3.99,0
48,85.62,13.88,0
7,132.68,18.96,1
21,120.9,17.3,0
42,67.72,4.96,1
26,100.74,23.37,0
44,117.74,11.32,1
14,73.5,4.66,0
37,133.07,5.14,0
21,104.48,3.26,1
18,66.52,19.48,0
5,108.3,3.81,1
3,149.97,3.88,0
23,65.05,20.56,0
26,131.68,8.93,0
37,70.73,1.71,1
24,128.24,2.19,0
49,123.46,4.27,0
19,80.05,5.91,0
25,82.58,16.3,0
21,129.25,4.62,0
12,96.14,3.73,0
41,123.08,18.59,0
33,64.8,16.43,0
50,135.26,11.01,0
4,121.09,13.63,1
42,140.69,8.18,0
7,63.24,12.1,0
22,109.3,12.65,0
33,109.91,9.91,0
17,85.35,21.85,0
24,95.85,1.37,0
34,53.8,18.99,0
28,124.59,3.86,1
43,104.93,19.34,0
41,55.77,15.17,1
39,118.08,20.4,1
22,96.68,3.24,0
49,53.45,13.86,0
17,146.96,12.53,0
34,144.91,17.24,0
6,101.29,13.29,0
46,59.37,13.44,0
6,125.46,10.88,0
34,99.19,8.1,0
1,80.24,12.09,0
10,99.14,3.73,0
21,102.24,23.11,1
5,106.27,17.43,0
2,94.12,22.91,0
22,110.58,6.21,0
48,141.87,21.22,0
2,86.23,19.6,0
10,122.57,16.57,1
34,139.45,15.38,0
16,95.6,8.28,0
48,94.35,19.78,0
39,110.21,12.53,1
22,109.14,2.63,0
12,130.66,8.2,0
24,97.65,22.51,0
47,149.61,20.57,0
40,55.95,23.58,0
38,50.32,15.44,0
10,114.02,6.69,1
35,79.84,4.74,0
49,74.04,5.3,0
32,81.19,1.46,0
7,75.6,9.99,0
21,53.08,5.4,0
20,147.15,10.47,0
26,72.07,22.5,1
4,123.4,10.9,0
46,126.26,21.19,0
22,142.93,14.93,0
15,53.05,6.68,0
40,137.2,9.18,0
21,102.72,2.93,0
15,113.25,8.67,0
22,114.45,16.58,1
28,131.98,2.66,0
14,83.34,5.72,0
27,123.31,9.77,0
41,102.86,23.59,1
40,129.34,19.05,0
28,149.05,17.87,0
26,70.07,3.67,0
49,149.46,18.96,0
2,58.98,19.06,0
25,50.23,14.83,0
3,54.42,23.78,0
8,84.18,8.48,0
44,113.29,22.65,0
33,56.9,22.04,0
42,50.57,1.26,0
35,143.71,11.35,0
6,132.19,23.47,1
39,130.92,3.37,0
23,138.44,13.6,1
25,120.0,23.52,0
50,60.44,13.78,0
43,89.91,5.37,1
19,122.31,14.39,0
5,78.03,5.7,0
11,118.74,12.95,0
12,52.45,2.7,0
10,80.61,14.93,0
8,104.91,12.89,0
24,113.21,18.02,0
28,107.7,15.51,0
41,119.78,13.64,0
36,50.61,16.86,0
37,60.09,4.31,0
21,136.89,14.69,0
8,118.17,4.96,1
9,61.29,22.29,0
47,134.21,2.57,1
15,74.22,10.9,0
48,97.83,17.0,0
46,64.52,11.53,0
40,121.01,3.12,0
18,116.69,13.73,0
42,71.11,15.76,0
20,136.34,17.19,0
6,90.13,9.58,1
12,79.25,13.96,0
2,65.23,11.37,0
7,76.62,16.46,0
16,52.2,14.42,0
3,108.33,13.09,0
45,134.22,6.74,0
3,104.9,1.05,1
27,71.93,5.0,0
50,53.37,3.69,0
43,71.46,11.33,0
40,91.61,15.08,0
38,125.96,5.9,0
33,68.78,22.6,0
28,121.98,1.15,0
1,136.69,18.76,0
8,95.39,15.38,0
37,132.14,9.59,0
32,105.47,2.16,0
48,113.71,15.43,0
43,102.63,9.87,0
37,96.32,22.53,1
4,73.47,13.47,1
30,80.32,22.61,0
6,79.0,6.07,0
46,106.33,17.69,0
19,62.0,15.2,0
32,141.68,18.01,1
9,122.07,5.94,0
12,90.14,16.29,1
11,65.86,12.45,1
46,138.2,18.08,0
16,132.38,8.52,0
1,122.17,21.47,0
45,77.15,2.94,1
21,90.24,19.57,0
30,60.27,20.81,1
13,68.9,19.8,0
34,128.3,12.79,0
4,121.5,11.08,1
28,109.35,23.91,0
38,139.57,6.27,0
31,108.33,13.58,0
27,96.7,16.43,0
5,84.04,17.12,0
25,144.04,5.69,0
3,58.27,16.04,1
33,143.09,19.82,1
4,132.67,2.15,0
25,62.99,21.96,0
20,106.5,1.68,0
34,136.65,9.19,0
26,107.18,1.36,1
5,140.72,2.77,0
35,144.3,21.96,0
28,92.24,9.16,0
29,87.73,10.77,0
9,143.63,5.95,0
38,117.51,14.73,0
50,61.6,14.68,0
6,54.23,9.56,0
19,106.46,8.66,0
44,143.02,21.35,0
11,134.42,9.82,0
2,117.58,12.35,0
47,63.91,7.52,0
44,75.42,19.1,0
44,137.55,10.14,0
9,68.28,12.81,0
21,77.84,6.83,1
24,62.96,23.72,1
34,117.61,7.7,0
22,144.4,18.73,1
3,76.9,10.83,0
12,97.54,5.74,0
28,113.43,19.39,0
30,149.95,8.67,0
26,60.48,20.9,0
48,99.86,22.05,0
21,88.51,20.78,0
28,136.58,1.81,0
26,97.6,19.11,0
33,61.1,10.46,1
21,113.44,21.1,0
35,127.08,15.67,0
34,50.29,20.17,0
41,135.9,12.49,0
47,68.6,13.31,0
18,105.21,4.32,0
11,91.58,19.03,0
23,121.97,10.65,0
48,87.12,12.5,0
22,136.98,19.06,0
17,123.05,14.77,0
5,114.77,5.63,0
44,129.62,14.58,0
11,125.4,10.38,0
